date,temp,s
2021-02-05,0.9,79.5
2021-02-06,5.8,89
2021-02-07,2.4,68.4
2021-02-08,-4.5,51
2021-02-09,-3.5,60
2021-02-10,1.7,84.3
2021-02-11,1,86.5
2021-02-12,1.6,72.6
2021-02-13,3.2,68.5
2021-02-14,5.6,67.4
2021-02-15,-0.2,70.4
2021-02-16,-6,45.8
2021-02-17,-9.7,40.3
2021-02-18,-7.8,48
2021-02-19,-1,71.8
2021-02-20,6.8,63.4
2021-02-21,8.3,70.6
2021-02-22,5.5,62.5
2021-02-23,-2.3,43.5
2021-02-24,-0.9,41.8
2021-02-25,-0.8,52.3
2021-02-26,2.8,54.8
2021-02-27,5.1,66.4
2021-02-28,4,66.4
2021-03-01,1.2,100
2021-03-02,-0.7,83
2021-03-03,-0.2,81.1
2021-03-04,2.9,87.4
2021-03-05,5.3,81.3
2021-03-06,2,82.6
2021-03-07,3.2,73.1
2021-03-08,3.3,68
2021-03-09,4,69.5
2021-03-10,5.2,74.6
2021-03-11,7.1,69.4
2021-03-12,7.3,76.3
2021-03-13,6.5,77.5
2021-03-14,6.5,87.1
2021-03-15,7.6,78.3
2021-03-16,7.2,59.1
2021-03-17,6.2,61.9
2021-03-18,8.2,65.6
2021-03-19,12,62
2021-03-20,7.8,94.4
2021-03-21,4.6,77.6
2021-03-22,4.5,53.6
2021-03-23,6.9,62.4
2021-03-24,7.9,71
2021-03-25,10.6,73
2021-03-26,9.6,65.5
2021-03-27,8.8,89.5
2021-03-28,8.8,100
2021-03-29,9.5,64.3
2021-03-30,8.5,61.6
2021-03-31,11,57.3
2021-04-01,14.5,42
2021-04-02,15.7,49
2021-04-03,10.7,91
2021-04-04,9.3,71.4
2021-04-05,9.8,60.9
2021-04-06,11.8,60.1
2021-04-07,11.3,58.1
2021-04-08,10.5,48.4
2021-04-09,11.2,45
2021-04-10,10.6,58
2021-04-11,12.2,52.6
2021-04-12,12,79.6
2021-04-13,9.9,77.4
2021-04-14,7.3,64.9
2021-04-15,9.6,69.9
2021-04-16,10.1,65.5
2021-04-17,5.6,80.3
2021-04-18,9,64.6
2021-04-19,12,64.3
2021-04-20,13.6,67
2021-04-21,16.9,60.6
2021-04-22,19.4,52.6
2021-04-23,15.8,58
2021-04-24,15.2,57.3
2021-04-25,14.9,61.8
2021-04-26,13.6,66.3
2021-04-27,13.4,74.5
2021-04-28,13.2,71.8
2021-04-29,11.2,76.3
2021-04-30,10.6,90.4
2021-05-01,8.6,98.4
2021-05-02,11.8,75.8
2021-05-03,12.3,66.8
2021-05-04,11.3,99.6
2021-05-05,13.6,62.9
2021-05-06,13.2,59.5
2021-05-07,14.2,61.5
2021-05-08,13.7,69.4
2021-05-09,13.9,54.1
2021-05-10,11.6,82.9
2021-05-11,17,56
2021-05-12,18.2,62.6
2021-05-13,20.1,75.1
2021-05-14,22.1,75.6
2021-05-15,20.8,90.9
2021-05-16,14.9,100
2021-05-17,13.6,94.6
2021-05-18,16.4,82.1
2021-05-19,18.1,69
2021-05-20,16.6,82.1
2021-05-21,15.5,88.9
2021-05-22,18.4,80
2021-05-23,18.3,75.3
2021-05-24,17.9,72.8
2021-05-25,13.2,88.4
2021-05-26,15.8,72.1
2021-05-27,15.4,94.4
2021-05-28,14.3,99.1
2021-05-29,14,94.6
2021-05-30,16.7,77.4
2021-05-31,17.9,91.1
2021-06-01,17.3,97.5
2021-06-02,21,77.3
2021-06-03,17.4,99
2021-06-04,18.1,70
2021-06-05,19.7,66.8
2021-06-06,20.7,80.8
2021-06-07,20.2,94.1
2021-06-08,19.8,91.4
2021-06-09,22.7,79.8
2021-06-10,22.9,88.1
2021-06-11,21.1,97.1
2021-06-12,23,82
2021-06-13,24.4,75
2021-06-14,23.5,77.3
2021-06-15,20.8,97.5
2021-06-16,22.3,76.3
2021-06-17,19.5,93.8
2021-06-18,20.6,99.3
2021-06-19,21,80
2021-06-20,21.3,84.6
2021-06-21,21.6,85.6
2021-06-22,20.1,91.3
2021-06-23,21.4,78.9
2021-06-24,22.1,83.4
2021-06-25,23.1,80.1
2021-06-26,20.2,100
2021-06-27,22.7,84.1
2021-06-28,22.8,89.6
2021-06-29,22.6,91.9
2021-06-30,21.4,99.5
2021-07-01,23.8,86.4
2021-07-02,24,88.5
2021-07-03,21.1,90.9
2021-07-04,20.9,100
2021-07-05,21.5,97.1
2021-07-06,23.7,90
2021-07-07,25.3,90.8
2021-07-08,24.5,95.1
2021-07-09,23.8,94.5
2021-07-10,24.4,94.5
2021-07-11,23.9,100
2021-07-12,26.3,89.4
2021-07-13,27.1,92.3
2021-07-14,27.9,86.6
2021-07-15,27.2,87.5
2021-07-16,25.9,87.5
2021-07-17,26.3,85.8
2021-07-18,27.2,84.1
2021-07-19,25.8,93.9
2021-07-20,26.5,87.6
2021-07-21,28.3,84.3
2021-07-22,27.7,81.4
2021-07-23,28.1,83.8
2021-07-24,28.6,78.8
2021-07-25,28.9,78
2021-07-26,28.9,78.6
2021-07-27,29.2,78.1
2021-07-28,27.5,83.1
2021-07-29,27.1,91.4
2021-07-30,28.6,77.6
2021-07-31,27.9,87.4
2021-08-01,25.7,99.9
2021-08-02,25.1,97.9
2021-08-03,25.8,91.4
2021-08-04,26.7,91.1
2021-08-05,26.8,88
2021-08-06,25.5,94.5
2021-08-07,25.4,87
2021-08-08,25.4,89.9
2021-08-09,26,77.8
2021-08-10,23.5,91.6
