금액,이용횟수
1196404,41
2270640,67
1349578,52
3205365,67
3243239,56
3219758,50
1339180,61
12663787,80
4314912,66
6003975,76
3989531,63
2350868,52
7925332,51
1534770,31
3053079,25
612217,8
399642,7
167425,3
26600,2
0,0
266368,3
1217247,29
1451308,27
3952307,44
2222593,42
1849431,53
1767666,59
15718809,52
2045378,54
1559927,48
2685246,49
1585437,58
3064247,71
3596045,49
3568630,46
1907382,40
4220139,48
3146196,43
1664105,33
1256825,15
995602,7
182670,4
52890,2
49390,1
473080,8
1185080,18
1424342,26
1360821,49
3881993,32
2565703,56
1817304,66
1987810,49
3038029,57
2561818,62
1184079,54
1906520,61
1620976,56
1824003,65
3296378,51
2802150,39
3072720,63
2458898,43
985110,19
177670,5
158500,5
71600,2
71230,2
92830,5
74143,4
1634393,26
1665301,36
1499266,27
2729180,44
12768643,62
2257360,81
20102916,72
4774137,58
11483463,63
1906383,46
1371474,45
4432671,66
2758661,52
1772244,45
956754,26
3823033,50
2052226,35
4557497,23
274324,5
396870,7
127310,4
118000,1
163130,3
375461,8
616302,21
1235183,23
1105511,32
2013976,42
6720919,59
2737709,78
3602918,64
1586234,44
14373770,84
1785479,53
2553206,66
2392331,62
3308605,59
2289774,69
2113308,48
1754699,39
808133,20
625570,16
342461,10
654174,6
162460,3
56383,1
0,0
146366,5
368311,13
603074,18
1026787,23
4207811,42
1931573,48
3852494,74
5270121,79
5799377,85
6131448,89
14030933,87
4710582,76
10953744,72
2635119,56
16434271,62
2122854,52
1593444,47
1659501,34
1110586,19
325740,11
253195,7
63810,1
36000,1
21660,1
696390,5
166407,12
696620,14
367419,15
2412026,43
1791347,63
8416517,63
2921602,71
6526524,68
2241748,67
8100376,89
5359529,93
3300033,85
4320710,70
2537529,51
2026718,39
4390581,52
1734512,34
1368308,24
1641534,16
214020,6
0,0
125380,2
22800,1
14900,1
616126,16
1090295,17
1043700,40
1534130,64
1261021,53
1957540,84
1943210,108
2454854,90
1780919,83
1676848,71
2037500,73
2153152,77
2246384,55
1570882,59
1158244,45
1194798,48
997289,32
880253,35
231727,12
241186,11
87589,5
238243,4
0,0
241664,6
290321,16
909059,30
2285108,48
2822577,50
13496606,64
3008718,75
5055764,46
8717847,43
1805058,57
2136766,57
1158180,53
2112381,73
2826480,73
1235663,44
1061207,37
1848538,50
1052291,31
1531799,31
1002428,15
161700,6
113000,3
200,2
432380,3
192269,10
502011,23
705985,19
2487359,56
2928669,43
4405773,78
2434311,84
1448878,65
2404666,60
4673543,86
3061267,54
1579651,50
1837403,66
2719514,62
2148702,61
1906250,38
2578218,44
1935922,47
1009789,27
196299,9
115560,3
201130,3
62669,6
82203,4
240690,8
693790,17
1035351,25
1655003,35
2224789,51
9654973,55
1006924,58
4784973,58
2143497,50
2630975,38
2596730,60
2031950,59
2623653,54
1354598,43
1928977,57
2040538,54
3392296,46
1067400,34
667093,13
902525,11
119290,4
107490,3
87320,1
356504,3
134010,5
493689,18
1021140,24
1520157,28
1391815,35
2779395,65
3583682,62
6548032,72
2667115,50
9015024,63
1693068,46
3866782,64
7306333,80
2873584,60
1622488,65
1516445,38
1781809,45
1487869,32
851995,22
504011,13
105180,5
275021,5
129480,4
59913,2
137270,6
311290,13
850261,16
2655198,30
4238589,56
5077776,44
14394959,88
10199534,80
3618883,64
9032823,77
6064413,77
8355139,85
3470491,71
4692770,76
2340240,65
1588530,39
1088192,25
2455186,25
712276,20
1363192,10
29490,1
10260,1
0,0
25900,1
196835,1
553009,19
365628,10
605087,20
1603936,24
2866348,41
7670242,53
7317086,62
3814666,59
6365460,84
2784454,57
2247157,59
2274599,55
2972602,69
3200262,50
1251136,33
2478080,43
4212033,47
671422,16
416387,13
463251,5
56550,7
0,0
70680,2
346290,5
458186,17
1029239,28
770951,19
1519502,52
2012177,55
4967622,61
3269655,53
2726132,58
1483997,50
1178022,41
7019171,57
2835047,74
1230742,45
1588054,56
1221723,34
1901690,49
736287,20
455937,13
98070,3
97521,4
190565,4
33373,2
36310,1
43760,2
1590933,15
877974,20
1889715,23
1430946,28
4357250,61
9725284,79
2390221,63
4535030,57
2876534,57
2018668,35
1807959,35
1457600,61
2736845,55
3133043,64
1459967,38
2389689,43
1485977,33
797640,13
324130,8
85200,3
75490,3
34060,2
2087600,5
287356,3
481441,14
4900207,23
1616730,34
4369756,31
1468300,48
2064047,77
2302650,52
2543338,62
2423591,68
2829905,51
2315762,61
2467129,68
2146742,75
2265695,57
1858931,47
2086042,44
2182023,39
4056499,73
974556,14
237075,11
48880,2
87450,2
322501,5
386309,4
1217723,34
2377248,35
1356108,39
1447278,38
2528510,65
2347921,70
4243512,70
3442810,64
3924508,61
2425458,39
2959384,70
5342170,78
1783160,55
2112580,54
3093122,48
3605145,45
1837950,42
2942100,37
604070,18
216128,3
96900,4
177930,3
985680,10
293350,5
